Rk,Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2,1999-11-17,0,6:02,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,3,2.9
3,1999-11-19,0,5:02,1,1,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,0,2,3,2.5
4,1999-11-20,0,21:21,5,7,.714,0,0,,2,2,1.000,1,6,7,1,1,0,2,6,12,8.9
5,1999-11-23,0,11:19,0,2,.000,0,0,,1,2,.500,0,4,4,0,1,0,1,1,1,0.0
6,1999-11-24,0,11:27,0,3,.000,0,0,,0,0,,1,3,4,1,0,1,2,0,0,-1.1
7,1999-11-26,0,19:20,3,7,.429,0,0,,2,3,.667,4,2,6,0,2,0,0,3,8,8.1
8,1999-11-27,0,21:22,3,8,.375,0,0,,2,2,1.000,1,3,4,0,0,0,2,2,8,2.4
9,1999-11-29,0,15:20,2,6,.333,0,0,,2,3,.667,4,2,6,1,0,0,2,1,6,3.9
10,1999-12-01,0,20:16,3,5,.600,0,0,,2,2,1.000,0,2,2,1,0,2,3,3,8,4.2
11,1999-12-03,0,25:31,2,7,.286,0,0,,0,0,,1,5,6,0,0,1,1,3,4,0.6
12,1999-12-05,1,23:20,5,8,.625,0,0,,0,0,,2,2,4,1,2,0,4,3,10,5.9
13,1999-12-07,1,18:41,4,12,.333,0,0,,0,0,,2,1,3,0,0,0,0,1,8,2.5
14,1999-12-09,0,24:27,4,6,.667,0,0,,0,4,.000,4,6,10,1,1,0,5,3,8,3.9
15,1999-12-11,0,22:39,2,4,.500,0,0,,1,4,.250,2,6,8,0,1,0,1,4,5,3.4
16,1999-12-16,0,21:20,2,6,.333,0,0,,1,2,.500,4,5,9,2,1,1,1,1,5,7.2
17,1999-12-17,0,18:19,3,6,.500,0,0,,0,0,,0,2,2,1,0,0,1,2,6,2.5
18,1999-12-20,0,24:38,4,8,.500,0,0,,2,2,1.000,2,3,5,1,1,3,1,6,10,8.7
19,1999-12-21,0,23:22,3,8,.375,0,0,,2,3,.667,3,5,8,0,0,1,1,2,8,5.7
20,1999-12-23,0,20:37,3,5,.600,0,0,,6,8,.750,2,3,5,1,0,1,2,1,12,10.2
21,1999-12-28,0,20:05,1,6,.167,0,0,,1,2,.500,4,3,7,2,0,0,4,3,3,-1.3
22,1999-12-30,0,19:26,2,5,.400,0,0,,3,4,.750,1,4,5,1,0,0,1,3,7,4.3
23,2000-01-03,0,16:37,2,4,.500,0,0,,0,0,,0,3,3,1,2,1,3,5,4,1.3
24,2000-01-04,0,20:30,1,2,.500,0,0,,4,5,.800,1,0,1,0,0,0,2,3,6,2.1
25,2000-01-06,1,29:33,5,9,.556,0,0,,5,7,.714,3,4,7,0,0,0,3,5,15,8.2
26,2000-01-08,1,38:49,6,8,.750,0,0,,9,14,.643,5,6,11,0,0,0,0,1,21,20.7
27,2000-01-10,1,30:29,6,10,.600,0,0,,2,2,1.000,0,8,8,3,1,0,1,3,14,12.7
28,2000-01-12,1,25:39,2,4,.500,0,0,,0,0,,0,7,7,3,2,1,1,2,4,7.1
29,2000-01-14,0,14:44,3,5,.600,0,0,,2,2,1.000,0,2,2,0,0,1,1,5,8,4.0
30,2000-01-15,0,23:38,3,8,.375,0,0,,2,4,.500,3,4,7,2,1,1,0,1,8,8.8
31,2000-01-18,0,21:33,3,3,1.000,0,0,,2,2,1.000,2,2,4,3,0,2,1,3,8,10.4
32,2000-01-19,0,19:47,2,4,.500,0,0,,2,3,.667,3,3,6,0,0,0,0,4,6,5.0
33,2000-01-22,0,16:12,0,4,.000,0,0,,0,2,.000,1,1,2,1,0,0,1,2,0,-3.7
34,2000-01-24,0,23:54,0,2,.000,0,0,,0,0,,1,2,3,2,0,1,2,2,0,-0.8
35,2000-01-27,0,24:00,3,6,.500,0,0,,0,0,,0,12,12,1,0,1,2,3,6,4.8
36,2000-01-29,0,15:47,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,1,3,4,0.7
37,2000-02-01,1,25:41,8,10,.800,0,0,,3,4,.750,2,4,6,0,0,0,2,3,19,14.2
38,2000-02-03,0,20:00,2,8,.250,0,0,,1,2,.500,4,5,9,2,2,0,1,4,5,4.9
39,2000-02-04,0,18:06,1,6,.167,0,0,,0,0,,2,1,3,0,0,0,1,3,2,-2.3
40,2000-02-06,0,21:30,4,7,.571,0,0,,5,6,.833,2,6,8,0,0,0,2,2,13,9.7
41,2000-02-07,0,26:14,1,2,.500,0,0,,6,6,1.000,3,4,7,3,0,0,3,1,8,9.0
42,2000-02-09,0,19:48,2,2,1.000,0,0,,1,2,.500,2,4,6,1,0,0,1,1,5,5.9
43,2000-02-15,0,21:43,3,5,.600,0,0,,3,4,.750,2,3,5,0,0,0,0,2,9,7.8
44,2000-02-16,0,19:52,3,4,.750,0,0,,2,2,1.000,0,1,1,0,2,0,1,1,8,7.3
45,2000-02-18,0,24:02,1,5,.200,0,0,,2,4,.500,4,7,11,0,0,1,1,4,4,3.1
46,2000-02-20,0,11:59,1,3,.333,0,0,,0,0,,1,4,5,0,2,0,1,5,2,1.2
47,2000-02-21,0,11:56,0,2,.000,0,1,.000,3,4,.750,0,1,1,0,1,1,1,5,3,0.2
48,2000-02-24,1,20:52,1,5,.200,0,0,,3,4,.750,2,2,4,1,1,0,0,2,5,4.4
49,2000-02-27,1,24:49,1,2,.500,0,0,,4,4,1.000,2,2,4,0,0,0,2,3,6,3.8
52,2000-03-06,0,8:28,0,1,.000,0,0,,0,0,,1,1,2,3,0,0,0,1,0,2.0
53,2000-03-26,0,23:41,6,7,.857,0,0,,0,0,,4,2,6,2,0,0,1,2,12,12.5
54,2000-03-28,0,24:19,4,8,.500,0,0,,3,4,.750,1,4,5,2,0,0,1,3,11,7.7
55,2000-03-30,0,18:08,1,2,.500,0,0,,0,2,.000,2,1,3,2,0,0,4,2,2,-1.5
56,2000-04-01,0,11:25,1,2,.500,0,0,,0,0,,1,2,3,1,1,1,2,3,2,1.5
57,2000-04-02,0,21:00,2,4,.500,0,0,,1,2,.500,3,4,7,1,1,0,1,2,5,5.8
58,2000-04-05,0,25:09,4,7,.571,0,0,,2,2,1.000,7,5,12,2,1,1,0,2,10,15.4
59,2000-04-06,0,21:42,1,7,.143,0,0,,0,0,,1,2,3,2,0,0,0,2,2,-0.6
60,2000-04-08,1,24:16,8,9,.889,0,0,,4,6,.667,0,2,2,1,1,0,1,5,20,15.4
61,2000-04-10,1,32:20,7,9,.778,0,0,,2,4,.500,2,5,7,1,1,1,1,4,16,14.4
62,2000-04-11,1,31:54,2,8,.250,1,1,1.000,2,6,.333,4,8,12,1,1,1,0,1,7,7.8
63,2000-04-13,1,29:51,6,8,.750,0,0,,1,2,.500,3,3,6,3,0,1,1,3,13,13.0
64,2000-04-16,0,22:23,4,8,.500,0,0,,1,1,1.000,2,4,6,2,0,1,2,3,9,6.5
65,2000-04-18,0,23:05,6,7,.857,0,0,,3,4,.750,2,2,4,2,0,0,1,0,15,14.5
66,2000-04-19,1,25:03,2,8,.250,0,0,,3,4,.750,3,7,10,1,2,2,1,4,7,7.5
