Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1996-11-01,35-172,CHI,BOS,W (+9),1,39:32,6,8,.750,0,0,,1,1,1.000,2,11,13,3,1,2,1,3,13,16.8
2,2,1996-11-02,35-173,CHI,PHI,W (+29),1,23:48,1,5,.200,0,0,,0,0,,3,9,12,3,0,0,2,3,2,2.6
3,3,1996-11-05,35-176,CHI,VAN,W (+23),1,35:59,6,11,.545,0,1,.000,1,2,.500,8,11,19,3,0,0,2,1,13,15.9
4,4,1996-11-06,35-177,CHI,MIA,W (+6),1,41:20,0,3,.000,0,0,,2,4,.500,9,13,22,4,1,0,2,4,2,9.5
5,5,1996-11-08,35-179,CHI,DET,W (+18),1,39:33,3,5,.600,0,0,,0,0,,4,16,20,3,0,0,1,3,6,11.2
6,6,1996-11-09,35-180,CHI,BOS,W (+12),1,29:25,1,3,.333,0,0,,1,2,.500,5,5,10,3,1,0,4,4,3,3.4
7,7,1996-11-11,35-182,CHI,PHO,W (+18),1,37:25,3,6,.500,0,0,,1,2,.500,6,16,22,4,0,0,2,2,7,12.6
8,8,1996-11-13,35-184,CHI,MIA,W (+32),1,30:23,0,3,.000,0,0,,2,2,1.000,5,14,19,2,0,1,1,1,2,8.3
9,9,1996-11-15,35-186,CHI,CHH,W (+23),1,28:07,2,2,1.000,0,0,,2,2,1.000,6,11,17,3,0,0,5,2,6,9.2
10,10,1996-11-16,35-187,CHI,ATL,W (+28),1,31:25,5,6,.833,1,2,.500,0,0,,5,10,15,3,0,0,2,1,11,15.0
11,11,1996-11-20,35-191,CHI,PHO,W (+14),1,35:50,1,3,.333,0,0,,1,2,.500,6,10,16,1,0,1,3,3,3,5.3
12,12,1996-11-21,35-192,CHI,DEN,W (+18),1,27:11,2,2,1.000,0,0,,0,0,,4,3,7,5,0,0,3,3,4,6.4
13,13,1996-11-23,35-194,CHI,UTA,L (-5),1,35:41,1,2,.500,0,0,,0,0,,2,8,10,1,0,0,0,5,2,3.5
14,14,1996-11-25,35-196,CHI,LAC,W (+4),1,41:09,1,2,.500,0,0,,0,0,,5,9,14,2,0,1,3,2,2,5.5
15,15,1996-11-29,35-200,CHI,DAL,W (+19),1,31:22,2,7,.286,0,0,,1,2,.500,9,10,19,3,0,1,6,3,5,5.4
16,16,1996-11-30,35-201,CHI,SAS,W (+9),1,35:54,2,4,.500,0,0,,3,4,.750,5,9,14,2,1,1,1,4,7,11.3
17,17,1996-12-03,35-204,CHI,MIL,W (+3),1,35:58,1,4,.250,0,0,,0,0,,3,9,12,5,2,0,1,4,2,7.3
18,18,1996-12-05,35-206,CHI,LAC,W (+18),1,39:22,0,3,.000,0,0,,0,0,,7,7,14,3,0,0,2,4,0,3.4
19,19,1996-12-07,35-208,CHI,MIA,L (-3),1,37:41,2,7,.286,0,0,,0,0,,7,11,18,2,1,1,1,5,4,8.2
20,20,1996-12-08,35-209,CHI,TOR,L (-8),1,34:11,2,3,.667,0,0,,0,1,.000,4,7,11,6,0,1,4,4,4,6.5
23,21,1996-12-14,35-215,CHI,CHH,W (+5),1,41:35,1,8,.125,0,0,,1,4,.250,9,14,23,4,0,1,4,4,3,5.0
24,22,1996-12-17,35-218,CHI,LAL,W (+6),1,43:03,0,2,.000,0,0,,2,2,1.000,6,12,18,5,3,0,1,3,2,12.7
25,23,1996-12-19,35-220,CHI,CHH,W (+21),1,34:54,1,4,.250,0,0,,0,0,,3,11,14,5,0,1,0,4,2,7.6
26,24,1996-12-21,35-222,CHI,PHI,W (+6),1,47:18,6,10,.600,0,0,,0,0,,6,12,18,2,2,0,1,3,12,16.4
27,25,1996-12-23,35-224,CHI,NJN,W (+32),1,29:27,3,6,.500,0,0,,0,0,,5,12,17,3,1,0,1,0,6,12.2
28,26,1996-12-25,35-226,CHI,DET,W (+12),1,46:23,5,10,.500,0,1,.000,1,3,.333,9,13,22,7,0,0,2,4,11,16.7
29,27,1996-12-26,35-227,CHI,ATL,L (-5),1,28:00,1,4,.250,0,0,,2,4,.500,5,5,10,1,0,1,2,5,4,3.2
30,28,1996-12-28,35-229,CHI,CLE,W (+5),1,38:09,4,6,.667,1,1,1.000,1,4,.250,5,11,16,4,1,0,1,2,10,15.0
31,29,1996-12-30,35-231,CHI,IND,W (+2),1,37:17,4,12,.333,0,1,.000,3,6,.500,11,10,21,2,0,0,1,5,11,12.1
32,30,1997-01-03,35-235,CHI,ORL,W (+21),1,37:55,4,10,.400,0,1,.000,2,4,.500,9,13,22,1,0,0,2,2,10,11.9
33,31,1997-01-06,35-238,CHI,UTA,W (+13),1,34:36,3,8,.375,0,2,.000,0,2,.000,8,8,16,4,1,0,0,3,6,11.4
34,32,1997-01-10,35-242,CHI,MIL,W (+15),1,43:10,8,11,.727,0,0,,0,0,,10,16,26,1,2,0,1,3,16,23.8
35,33,1997-01-11,35-243,CHI,HOU,W (+24),1,38:51,4,9,.444,0,1,.000,0,1,.000,5,13,18,4,1,0,2,4,8,10.5
36,34,1997-01-14,35-246,CHI,WSB,W (+1),1,41:34,2,5,.400,0,1,.000,1,2,.500,10,8,18,1,0,0,2,2,5,9.2
37,35,1997-01-15,35-247,CHI,MIN,W (+10),1,33:19,3,6,.500,0,0,,0,0,,5,10,15,5,0,0,0,1,6,12.6
38,36,1997-02-11,35-274,CHI,CHH,W (+3),1,37:13,1,3,.333,0,0,,1,1,1.000,5,9,14,5,0,0,2,5,3,7.0
39,37,1997-02-14,35-277,CHI,ATL,W (+1),0,30:06,1,1,1.000,0,0,,0,0,,4,8,12,1,0,0,1,6,2,4.2
40,38,1997-02-16,35-279,CHI,ORL,W (+21),1,30:05,3,3,1.000,0,0,,1,1,1.000,5,8,13,2,1,0,2,2,7,11.6
41,39,1997-02-18,35-281,CHI,DEN,W (+11),1,35:10,1,5,.200,0,1,.000,1,2,.500,4,9,13,5,0,0,4,2,3,3.7
42,40,1997-02-21,35-284,CHI,WSB,W (+4),1,38:02,1,2,.500,0,0,,2,2,1.000,3,9,12,2,0,0,2,3,4,6.0
43,41,1997-02-22,35-285,CHI,GSW,W (+33),1,22:29,1,3,.333,0,0,,3,4,.750,6,6,12,2,0,0,3,5,5,5.3
44,42,1997-02-24,35-287,CHI,POR,W (+27),1,28:14,1,2,.500,0,0,,2,2,1.000,6,9,15,3,1,0,1,4,4,10.4
45,43,1997-02-27,35-290,CHI,CLE,L (-3),1,39:24,6,11,.545,0,0,,4,4,1.000,7,9,16,1,0,1,2,5,16,15.7
46,44,1997-02-28,35-291,CHI,SAC,W (+18),1,26:32,2,3,.667,0,0,,2,2,1.000,2,9,11,4,0,1,4,3,6,7.1
47,45,1997-03-03,35-294,CHI,MIL,W (+18),1,31:55,2,3,.667,0,0,,1,2,.500,4,7,11,7,2,0,1,4,5,12.5
49,46,1997-03-07,35-298,CHI,IND,W (+8),1,42:06,1,6,.167,0,1,.000,2,2,1.000,8,10,18,4,3,0,7,2,4,6.8
50,47,1997-03-09,35-300,CHI,NYK,L (-4),1,43:49,3,5,.600,0,1,.000,3,4,.750,7,12,19,1,1,0,3,5,9,11.5
51,48,1997-03-11,35-302,CHI,BOS,W (+11),1,33:19,3,4,.750,0,0,,0,0,,4,12,16,5,0,1,4,3,6,9.8
52,49,1997-03-12,35-303,CHI,PHI,W (+4),1,40:23,1,4,.250,0,0,,0,0,,6,11,17,5,3,0,1,3,2,11.4
53,50,1997-03-14,35-305,CHI,NJN,L (-1),1,33:59,1,8,.125,0,0,,0,2,.000,13,4,17,1,0,0,0,2,2,6.2
54,51,1997-03-15,35-306,CHI,ATL,W (+20),1,29:32,4,6,.667,2,2,1.000,0,0,,4,10,14,1,2,1,2,2,10,13.8
55,52,1997-03-18,35-309,CHI,SEA,W (+2),1,38:33,1,5,.200,0,0,,0,4,.000,3,14,17,2,1,0,3,3,2,1.8
56,53,1997-03-21,35-312,CHI,IND,W (+19),1,34:22,1,2,.500,0,0,,0,0,,6,13,19,3,0,2,2,3,2,9.4
57,54,1997-03-22,35-313,CHI,DET,W (+15),1,37:50,3,4,.750,1,2,.500,0,0,,3,15,18,4,0,0,0,2,7,14.0
58,55,1997-03-25,35-316,CHI,DAL,W (+2),1,29:34,1,6,.167,0,1,.000,0,0,,9,12,21,2,0,1,1,2,2,8.4
1,1,1997-04-25,35-347,CHI,WSB,W (+12),0,22:49,0,3,.000,0,0,,1,2,.500,6,3,9,0,0,0,0,5,1,1.6
2,2,1997-04-27,35-349,CHI,WSB,W (+5),0,33:18,2,3,.667,0,0,,0,0,,3,5,8,2,0,0,3,4,4,3.1
3,3,1997-04-30,35-352,CHI,WSB,W (+1),1,40:50,6,8,.750,0,0,,2,3,.667,6,4,10,0,0,1,3,5,14,11.5
4,4,1997-05-06,35-358,CHI,ATL,W (+3),1,22:03,0,1,.000,0,1,.000,0,0,,2,5,7,1,0,0,2,1,0,0.5
5,5,1997-05-08,35-360,CHI,ATL,L (-8),1,25:40,1,5,.200,0,0,,0,0,,2,3,5,0,0,1,1,6,2,-1.5
6,6,1997-05-10,35-362,CHI,ATL,W (+20),0,6:35,1,1,1.000,0,0,,0,0,,2,1,3,2,0,0,1,3,2,2.6
7,7,1997-05-11,35-363,CHI,ATL,W (+9),0,10:56,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,0,4,0,-2.8
8,8,1997-05-13,36-000,CHI,ATL,W (+15),0,32:38,4,10,.400,2,3,.667,2,2,1.000,4,5,9,3,1,1,2,5,12,10.7
9,9,1997-05-20,36-007,CHI,MIA,W (+7),1,36:13,2,5,.400,0,0,,0,0,,7,12,19,1,2,0,3,6,4,7.1
10,10,1997-05-22,36-009,CHI,MIA,W (+7),1,29:07,0,2,.000,0,1,.000,1,2,.500,2,8,10,2,0,0,0,4,1,2.8
11,11,1997-05-24,36-011,CHI,MIA,W (+24),1,34:35,0,2,.000,0,2,.000,3,4,.750,3,6,9,0,2,0,1,3,3,4.9
12,12,1997-05-26,36-013,CHI,MIA,L (-7),1,42:23,6,13,.462,0,2,.000,1,1,1.000,5,6,11,3,1,0,2,5,13,10.7
13,13,1997-05-28,36-015,CHI,MIA,W (+13),1,34:15,3,7,.429,1,1,1.000,2,2,1.000,7,6,13,4,0,0,4,2,9,10.0
14,14,1997-06-01,36-019,CHI,UTA,W (+2),1,33:15,2,7,.286,0,2,.000,0,2,.000,4,8,12,1,2,0,2,4,4,3.4
15,15,1997-06-04,36-022,CHI,UTA,W (+12),1,25:28,2,3,.667,1,1,1.000,2,2,1.000,0,7,7,1,0,0,2,2,7,5.7
16,16,1997-06-06,36-024,CHI,UTA,L (-11),1,24:11,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,1,1,1,0,0.6
17,17,1997-06-08,36-026,CHI,UTA,L (-5),1,24:38,0,4,.000,0,1,.000,0,0,,1,5,6,2,1,0,0,4,0,0.2
18,18,1997-06-11,36-029,CHI,UTA,W (+2),1,22:25,1,1,1.000,0,0,,0,2,.000,1,6,7,1,0,0,0,6,2,1.7
19,19,1997-06-13,36-031,CHI,UTA,W (+4),1,32:46,0,4,.000,0,1,.000,1,2,.500,3,8,11,3,1,0,1,4,1,2.8