,G,Date,Opponent,Current_Result,Tm,Opp,W,L,Streak,Previous_Result
1,1.0,1996-11-01,Boston Celtics,W,107.0,98.0,1.0,0.0,W 1,W
2,2.0,1996-11-02,Philadelphia 76ers,W,115.0,86.0,2.0,0.0,W 2,W
3,3.0,1996-11-05,Vancouver Grizzlies,W,96.0,73.0,3.0,0.0,W 3,W
4,4.0,1996-11-06,Miami Heat,W,106.0,100.0,4.0,0.0,W 4,W
5,5.0,1996-11-08,Detroit Pistons,W,98.0,80.0,5.0,0.0,W 5,W
6,6.0,1996-11-09,Boston Celtics,W,104.0,92.0,6.0,0.0,W 6,W
7,7.0,1996-11-11,Phoenix Suns,W,97.0,79.0,7.0,0.0,W 7,W
8,8.0,1996-11-13,Miami Heat,W,103.0,71.0,8.0,0.0,W 8,W
9,9.0,1996-11-15,Charlotte Hornets,W,110.0,87.0,9.0,0.0,W 9,W
10,10.0,1996-11-16,Atlanta Hawks,W,97.0,69.0,10.0,0.0,W 10,W
11,11.0,1996-11-20,Phoenix Suns,W,113.0,99.0,11.0,0.0,W 11,W
12,12.0,1996-11-21,Denver Nuggets,W,110.0,92.0,12.0,0.0,W 12,W
13,13.0,1996-11-23,Utah Jazz,L,100.0,105.0,12.0,1.0,L 1,W
14,14.0,1996-11-25,Los Angeles Clippers,W,88.0,84.0,13.0,1.0,W 1,L
15,15.0,1996-11-29,Dallas Mavericks,W,116.0,97.0,14.0,1.0,W 2,W
16,16.0,1996-11-30,San Antonio Spurs,W,97.0,88.0,15.0,1.0,W 3,W
17,17.0,1996-12-03,Milwaukee Bucks,W,107.0,104.0,16.0,1.0,W 4,W
18,18.0,1996-12-05,Los Angeles Clippers,W,114.0,96.0,17.0,1.0,W 5,W
19,19.0,1996-12-07,Miami Heat,L,80.0,83.0,17.0,2.0,L 1,W
20,20.0,1996-12-08,Toronto Raptors,L,89.0,97.0,17.0,3.0,L 2,L
21,21.0,1996-12-11,Minnesota Timberwolves,W,103.0,86.0,18.0,3.0,W 1,L
22,22.0,1996-12-13,New Jersey Nets,W,113.0,92.0,19.0,3.0,W 2,W
23,23.0,1996-12-14,Charlotte Hornets,W,87.0,82.0,20.0,3.0,W 3,W
24,24.0,1996-12-17,Los Angeles Lakers,W,129.0,123.0,21.0,3.0,W 4,W
25,25.0,1996-12-19,Charlotte Hornets,W,93.0,72.0,22.0,3.0,W 5,W
26,26.0,1996-12-21,Philadelphia 76ers,W,111.0,105.0,23.0,3.0,W 6,W
27,27.0,1996-12-23,New Jersey Nets,W,113.0,81.0,24.0,3.0,W 7,W
28,28.0,1996-12-25,Detroit Pistons,W,95.0,83.0,25.0,3.0,W 8,W
29,29.0,1996-12-26,Atlanta Hawks,L,103.0,108.0,25.0,4.0,L 1,W
30,30.0,1996-12-28,Cleveland Cavaliers,W,102.0,97.0,26.0,4.0,W 1,L
31,31.0,1996-12-30,Indiana Pacers,W,81.0,79.0,27.0,4.0,W 2,W
32,32.0,1997-01-03,Orlando Magic,W,110.0,89.0,28.0,4.0,W 3,W
33,33.0,1997-01-06,Utah Jazz,W,102.0,89.0,29.0,4.0,W 4,W
34,34.0,1997-01-10,Milwaukee Bucks,W,116.0,101.0,30.0,4.0,W 5,W
35,35.0,1997-01-11,Houston Rockets,W,110.0,86.0,31.0,4.0,W 6,W
36,36.0,1997-01-14,Washington Bullets,W,108.0,107.0,32.0,4.0,W 7,W
37,37.0,1997-01-15,Minnesota Timberwolves,W,112.0,102.0,33.0,4.0,W 8,W
38,38.0,1997-01-17,Milwaukee Bucks,W,100.0,73.0,34.0,4.0,W 9,W
39,39.0,1997-01-19,Houston Rockets,L,86.0,102.0,34.0,5.0,L 1,W
40,40.0,1997-01-21,New York Knicks,W,88.0,87.0,35.0,5.0,W 1,L
41,41.0,1997-01-23,Cleveland Cavaliers,W,87.0,71.0,36.0,5.0,W 2,W
42,42.0,1997-01-25,Toronto Raptors,W,110.0,98.0,37.0,5.0,W 3,W
43,43.0,1997-01-28,Vancouver Grizzlies,W,111.0,96.0,38.0,5.0,W 4,W
44,44.0,1997-01-30,Sacramento Kings,W,111.0,93.0,39.0,5.0,W 5,W
45,45.0,1997-01-31,Golden State Warriors,W,115.0,92.0,40.0,5.0,W 6,W
46,46.0,1997-02-02,Seattle SuperSonics,W,91.0,84.0,41.0,5.0,W 7,W
47,47.0,1997-02-04,Portland Trail Blazers,W,88.0,84.0,42.0,5.0,W 8,W
48,48.0,1997-02-05,Los Angeles Lakers,L,90.0,106.0,42.0,6.0,L 1,W
49,49.0,1997-02-11,Charlotte Hornets,W,103.0,100.0,43.0,6.0,W 1,L
50,50.0,1997-02-14,Atlanta Hawks,W,89.0,88.0,44.0,6.0,W 2,W
51,51.0,1997-02-16,Orlando Magic,W,110.0,89.0,45.0,6.0,W 3,W
52,52.0,1997-02-18,Denver Nuggets,W,134.0,123.0,46.0,6.0,W 4,W
53,53.0,1997-02-21,Washington Bullets,W,103.0,99.0,47.0,6.0,W 5,W
54,54.0,1997-02-22,Golden State Warriors,W,120.0,87.0,48.0,6.0,W 6,W
55,55.0,1997-02-24,Portland Trail Blazers,W,116.0,89.0,49.0,6.0,W 7,W
56,56.0,1997-02-27,Cleveland Cavaliers,L,70.0,73.0,49.0,7.0,L 1,W
57,57.0,1997-02-28,Sacramento Kings,W,126.0,108.0,50.0,7.0,W 1,L
58,58.0,1997-03-03,Milwaukee Bucks,W,108.0,90.0,51.0,7.0,W 2,W
59,59.0,1997-03-05,San Antonio Spurs,W,111.0,69.0,52.0,7.0,W 3,W
60,60.0,1997-03-07,Indiana Pacers,W,104.0,96.0,53.0,7.0,W 4,W
61,61.0,1997-03-09,New York Knicks,L,93.0,97.0,53.0,8.0,L 1,W
62,62.0,1997-03-11,Boston Celtics,W,117.0,106.0,54.0,8.0,W 1,L
63,63.0,1997-03-12,Philadelphia 76ers,W,108.0,104.0,55.0,8.0,W 2,W
64,64.0,1997-03-14,New Jersey Nets,L,98.0,99.0,55.0,9.0,L 1,W
65,65.0,1997-03-15,Atlanta Hawks,W,99.0,79.0,56.0,9.0,W 1,L
66,66.0,1997-03-18,Seattle SuperSonics,W,89.0,87.0,57.0,9.0,W 2,W
67,67.0,1997-03-21,Indiana Pacers,W,117.0,98.0,58.0,9.0,W 3,W
68,68.0,1997-03-22,Detroit Pistons,W,103.0,88.0,59.0,9.0,W 4,W
69,69.0,1997-03-25,Dallas Mavericks,W,94.0,92.0,60.0,9.0,W 5,W
70,70.0,1997-03-27,Toronto Raptors,W,96.0,83.0,61.0,9.0,W 6,W
71,71.0,1997-03-29,New Jersey Nets,W,111.0,101.0,62.0,9.0,W 7,W
72,72.0,1997-04-01,Boston Celtics,W,111.0,106.0,63.0,9.0,W 8,W
73,73.0,1997-04-03,Washington Bullets,L,102.0,110.0,63.0,10.0,L 1,W
74,74.0,1997-04-04,Cleveland Cavaliers,W,84.0,71.0,64.0,10.0,W 1,L
75,75.0,1997-04-06,Orlando Magic,W,110.0,94.0,65.0,10.0,W 2,W
76,76.0,1997-04-07,Philadelphia 76ers,W,128.0,102.0,66.0,10.0,W 3,W
77,77.0,1997-04-09,Indiana Pacers,W,86.0,80.0,67.0,10.0,W 4,W
78,78.0,1997-04-10,New York Knicks,W,105.0,103.0,68.0,10.0,W 5,W
79,79.0,1997-04-13,Detroit Pistons,L,91.0,108.0,68.0,11.0,L 1,W
80,80.0,1997-04-14,Toronto Raptors,W,117.0,100.0,69.0,11.0,W 1,L
81,81.0,1997-04-16,Miami Heat,L,92.0,102.0,69.0,12.0,L 1,W
82,82.0,1997-04-19,New York Knicks,L,101.0,103.0,69.0,13.0,L 2,L
83,1.0,1997-04-25,Washington Bullets,W,98.0,86.0,1.0,0.0,W 1,L
84,2.0,1997-04-27,Washington Bullets,W,109.0,104.0,2.0,0.0,W 2,W
85,3.0,1997-04-30,Washington Bullets,W,96.0,95.0,3.0,0.0,W 3,W
86,4.0,1997-05-06,Atlanta Hawks,W,100.0,97.0,4.0,0.0,W 4,W
87,5.0,1997-05-08,Atlanta Hawks,L,95.0,103.0,4.0,1.0,L 1,W
88,6.0,1997-05-10,Atlanta Hawks,W,100.0,80.0,5.0,1.0,W 1,L
89,7.0,1997-05-11,Atlanta Hawks,W,89.0,80.0,6.0,1.0,W 2,W
90,8.0,1997-05-13,Atlanta Hawks,W,107.0,92.0,7.0,1.0,W 3,W
91,9.0,1997-05-20,Miami Heat,W,84.0,77.0,8.0,1.0,W 4,W
92,10.0,1997-05-22,Miami Heat,W,75.0,68.0,9.0,1.0,W 5,W
93,11.0,1997-05-24,Miami Heat,W,98.0,74.0,10.0,1.0,W 6,W
94,12.0,1997-05-26,Miami Heat,L,80.0,87.0,10.0,2.0,L 1,W
95,13.0,1997-05-28,Miami Heat,W,100.0,87.0,11.0,2.0,W 1,L
96,14.0,1997-06-01,Utah Jazz,W,84.0,82.0,12.0,2.0,W 2,W
97,15.0,1997-06-04,Utah Jazz,W,97.0,85.0,13.0,2.0,W 3,W
98,16.0,1997-06-06,Utah Jazz,L,93.0,104.0,13.0,3.0,L 1,W
99,17.0,1997-06-08,Utah Jazz,L,73.0,78.0,13.0,4.0,L 2,L
100,18.0,1997-06-11,Utah Jazz,W,90.0,88.0,14.0,4.0,W 1,L
101,19.0,1997-06-13,Utah Jazz,W,90.0,86.0,15.0,4.0,W 2,W
