Name,Salary
Darrell Armstrong,4125000
Armen Gilliam,3707200
Derek Strong,3159000
Chauncey Billups,3100080
Gerald Wilkins,3000000
Ron Mercer,2298840
Bo Outlaw,2000000
Terry Davis,1925000
Yinka Dare,1893500
Michael Smith,1660000
Michael Doleac,1357320
Corey Maggette,1259400
Harvey Grant,1200000
Johnny Taylor,1172400
Matt Harpring,1163760
Tim Legler,1119000
Anthony Johnson,1100000
Anthony Parker,980280
Pat Garrity,952800
Ben Wallace,893750
Rodrick Rhodes,600000
Monty Williams,510000
Jeff McInnis,460000
John Amaechi,385000
Chucky Atkins,385000
Makhtar N'Diaye,385000
Miles Simon,385000
Dominique Wilkins,250000
Earl Boykins,88324
Kiwane Garris,61147
Louis Bullock,10000